startTime,open,high,low,close,volume,turnover
1744624080000,84259.3,84278.3,84238.3,84278.3,44.859,3779924.4693
1744624140000,84278.3,84312,84278.2,84309.2,39.267,3310022.5047
1744624200000,84309.2,84309.2,84273,84274.6,23.593,1988546.8164
1744624260000,84274.6,84314.9,84270,84314.8,16.771,1413582.8893
1744624320000,84314.8,84409.7,84314.8,84328.7,41.777,3524231.2978
1744624380000,84328.7,84369.6,84328.7,84361.2,16.585,1399012.8431
1744624440000,84361.2,84365.9,84358.1,84358.1,10.6,894238.6475
1744624500000,84358.1,84400,84310.1,84333.7,28.933,2440703.7293
1744624560000,84333.7,84379.5,84328.2,84378.4,10.637,897259.8363
1744624620000,84378.4,84432.7,84378.3,84419.5,39.365,3323172.8007
1744624680000,84419.5,84428.2,84394.5,84419.5,27.799,2346405.9899
1744624740000,84419.5,84441,84405.4,84405.5,32.816,2770485.5948
1744624800000,84405.5,84457.9,84404.1,84417,40.744,3440102.2662
1744624860000,84417,84454.8,84417,84449.1,24.364,2057158.0403
1744624920000,84449.1,84449.2,84440.5,84443.9,5.683,479912.3827
1744624980000,84443.9,84450.1,84401.9,84444,18.233,1539164.7457
1744625040000,84444,84465.9,84440,84451.5,35.076,2962266.4487
1744625100000,84451.5,84452.3,84355.3,84355.4,68.208,5756501.0448
1744625160000,84355.4,84360,84341.5,84341.5,24.841,2095479.6602
1744625220000,84341.5,84341.5,84273.5,84279.2,30.629,2582153.6532
1744625280000,84279.2,84334,84266.9,84333.9,21.05,1774388.4464
1744625340000,84333.9,84520,84333.9,84520,51.968,4388149.9343
1744625400000,84520,84569.6,84499.9,84511.1,71.624,6054867.5377
1744625460000,84511.1,84513.4,84441.1,84441.1,13.821,1167782.6832
1744625520000,84441.1,84467.3,84389.5,84389.5,17.387,1468082.5138
1744625580000,84389.5,84408.5,84360,84391.8,32.605,2751119.9493
1744625640000,84391.8,84401.5,84360,84360,41.606,3510843.4983
1744625700000,84360,84380,84360,84380,16.146,1362262.6845
1744625760000,84380,84442.8,84368.9,84378.2,49.742,4198332.0224
1744625820000,84378.2,84394.1,84353.8,84382.1,12.031,1015008.2252
1744625880000,84382.1,84415.7,84362.6,84386.1,9.538,804887.1657
1744625940000,84386.1,84459.3,84377.7,84459.3,12.154,1026055.8593
1744626000000,84459.3,84492.6,84459.2,84473.8,33.804,2855489.8982
1744626060000,84473.8,84646.3,84468,84561.5,485.236,41039428.8062
1744626120000,84561.5,84600,84536.2,84550.4,59.495,5031120.8574
1744626180000,84550.4,84550.4,84488.1,84488.2,26.076,2203871.3942
1744626240000,84488.2,84517,84466,84472,179.474,15164153.3887
1744626300000,84472,84496.4,84458.7,84458.7,14.354,1212568.6386
1744626360000,84458.7,84570,84458.7,84570,33.637,2843471.1705
1744626420000,84570,84626,84558,84620,214.081,18109679.498
1744626480000,84620,84634.2,84603.4,84629.9,83.435,7060037.5108
1744626540000,84629.9,84630,84581.9,84598.3,91.069,7704708.5843
1744626600000,84598.3,84680,84598.2,84646.9,54.107,4580313.7788
1744626660000,84646.9,84693.3,84607.6,84644.1,108.21,9159396.9583
1744626720000,84644.1,84715.2,84639.9,84658.2,64.335,5448453.1768
1744626780000,84658.2,84667.9,84613.2,84613.2,41.131,3481340.6207
1744626840000,84613.2,84644.7,84613.2,84644.7,13.834,1170717.2445
1744626900000,84644.7,84644.7,84573.4,84573.4,22.494,1903178.9278
1744626960000,84573.4,84592,84557.7,84570.6,27.136,2295120.6009
1744627020000,84570.6,84594.5,84561.9,84590.4,20.438,1728516.1543
1744627080000,84590.4,84590.4,84520,84520,18.206,1539429.4659
1744627140000,84520,84542,84520,84541.9,22.744,1922538.0932
1744627200000,84541.9,84572.8,84521,84563.7,45.507,3847385.8138
1744627260000,84563.7,84626.4,84563.7,84608.5,34.592,2926657.59
1744627320000,84608.5,84700,84608.5,84682.2,43.068,3646936.1513
1744627380000,84682.2,84715,84681.7,84709.6,31.606,2676860.863
1744627440000,84709.6,84767.3,84700.1,84759.7,83.255,7055063.678
1744627500000,84759.7,84784.3,84712.2,84715.5,53.284,4516102.1111
1744627560000,84715.5,84744,84697.4,84744,40.447,3426844.3981
1744627620000,84744,84744,84705.8,84705.9,14.762,1250811.4314
1744627680000,84705.9,84705.9,84687.8,84687.8,22.918,1941100.1507
1744627740000,84687.8,84713.7,84687.8,84702,40.196,3404619.2333
1744627800000,84702,84743.3,84690,84738.3,18.98,1607826.2257
1744627860000,84738.3,84765,84726.7,84758.3,29.509,2500927.8233
1744627920000,84758.3,84780,84717,84737.1,28.287,2397453.1609
1744627980000,84737.1,84737.1,84661.8,84661.8,38.412,3252989.7215
1744628040000,84661.8,84673.2,84653.4,84672,27.256,2307703.9204
1744628100000,84672,84672.1,84630.9,84630.9,42.892,3631352.7635
1744628160000,84630.9,84630.9,84610.8,84617.5,33.521,2836667.374
1744628220000,84617.5,84707.3,84617.4,84707.3,59.738,5056432.4342
1744628280000,84707.3,84707.3,84611,84613.6,29.056,2460072.2499
1744628340000,84613.6,84628.1,84600,84618.2,38.36,3245902.0598
